 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|                          Encoder statistics. This file is generated during first encoding session, new sessions will be appended                                                                                                                                                                                 |
 ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ 
|     ver     | Date  | Time  |               Sequence                 | #Img |P/MbInt| QPI| QPP| QPB| Format  |Iperiod| #B | FMES | Hdmd | S.R |#Ref | Freq |Coding|RD-opt|Intra upd|8x8Tr| SNRY 1| SNRU 1| SNRV 1| SNRY N| SNRU N| SNRV N|#Bitr I|#Bitr P|#Bitr B|#Bitr IPB|     Total Time   |      Me Time     |
| 19.0/(FRExt)| 18-Ma | 18:20 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101432   |          15732   |
| 19.0/(FRExt)| 18-Ma | 18:21 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101490   |          15913   |
| 19.0/(FRExt)| 18-Ma | 18:23 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         102272   |          16019   |
| 19.0/(FRExt)| 18-Ma | 18:25 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         102184   |          15898   |
| 19.0/(FRExt)| 18-Ma | 18:27 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101728   |          15844   |
| 19.0/(FRExt)| 18-Ma | 18:28 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         103551   |          15990   |
| 19.0/(FRExt)| 18-Ma | 18:30 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101962   |          16012   |
| 19.0/(FRExt)| 18-Ma | 18:32 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         100651   |          15512   |
| 19.0/(FRExt)| 18-Ma | 18:33 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101641   |          15915   |
| 19.0/(FRExt)| 18-Ma | 18:35 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101262   |          15748   |
| 19.0/(FRExt)| 18-Ma | 18:37 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101520   |          15828   |
| 19.0/(FRExt)| 18-Ma | 18:38 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         102396   |          16091   |
| 19.0/(FRExt)| 18-Ma | 18:40 |meijlldmj/avc-steg/files/input_clean.y4m|   30 |  0/0  | 28 | 28 | 30 |1920x1080|    0  |  0 | EPZS |  022 |  32 |  4  | 30.00| CABAC|   1  |   OFF   |  1  | 49.903| 48.142| 46.790| 49.851| 46.965| 46.197| 144320|3353608|      0|  3498272|         101726   |          15704   |
